空天姬预设,9.1475.202510110438
鲜血跳鱼,平钓【恶魔蠕虫|12710】@（打雷|9）》！！=【鲜血跳鱼|12812】；引诱；//预设分级：批量生成
眼镜蛇鱼,平钓【巨型大蚊|12712】》！！=【眼镜蛇鱼|12813】；引诱；//预设分级：批量生成
飞灵,平钓【巨型大蚊|12712】》！！=【飞灵|12814】；引诱；//预设分级：批量生成
油鳗,大鱼【天钢之球|30136】@（打雷|9）》！【白金鱼|12776】》！！=【油鳗|12815】；引诱、不撒饵；//预设分级：批量生成
宝石水母,大鱼【天钢之球|30136】@2002-0300》！【白金鱼|12776】》！=【宝石水母|12816】；引诱、不撒饵；//预设分级：批量生成
战舰鱼,大鱼【土蜘蛛|12705】》！【冰战神|12715】》！！！=【战舰鱼|12817】；引诱、不撒饵；//预设分级：批量生成
星码龙虾,平钓【叶片钓钩|12707】》！！=【星码龙虾|12818】；引诱；//预设分级：批量生成
内陆刺鱼,平钓【叶片钓钩|12707】》！！！=【内陆刺鱼|12819】；引诱；//预设分级：批量生成
熔岩鲶鱼,大鱼【金属亮片|28634】》！》！！=【熔岩鲶鱼|12820】；引诱、不撒饵；//预设分级：合格的
无齿翼龙,平钓【巨型大蚊|12712】@0902-1630》！！！=【无齿翼龙|12821】；引诱；//预设分级：批量生成
飞翼鲂,平钓【巨型大蚊|12712】》！！=【飞翼鲂|12822】；引诱；//预设分级：批量生成
温泉胆,平钓【残暴水蛭|12711】》！=【温泉胆|12823】；引诱、钓组；//预设分级：批量生成
樱鳟鱼,平钓【叶片钓钩|12707】》！！=【樱鳟鱼|12824】；引诱；//预设分级：批量生成
惊龟,大鱼【巨型大蚊|12712】》！！【高天鱼|12805】》！！！=【惊龟|12825】；引诱、不撒饵；//预设分级：批量生成
黑魔法鱼,大鱼【金属亮片|28634】》！》！！=【黑魔法鱼|12826】；//预设分级：批量生成
落雷鳗,耐心【残暴水蛭|12711】@2202-0320》！！@拍水【？落雷鳗|12828】@专一【落雷鳗|12828】=引诱、收藏品、大尺寸、不撒饵；//窗口期到来前反复抛竿是正常的//预设分级：有效的
飞猫杀手,平钓【残暴水蛭|12711】@（碧空|1、晴朗|2）》！！！=【飞猫杀手|12829】；引诱；//预设分级：批量生成
哲学骨舌鱼,平钓【残暴水蛭|12711】@1302-2000》！！！=【哲学骨舌鱼|12830】；引诱；//预设分级：批量生成
沙利亚克鳄,大鱼【叶片钓钩|12707】@1502-1800》！【牛蛙|12730】》！！！=【沙利亚克鳄|12831】；引诱、不撒饵；//预设分级：批量生成
熔岩王,耐心【金属亮片|28634】@0902-1700（碧空|1、晴朗|2）》！【花岗蟹|12754】》！！！=【熔岩王|12832】；//预设分级：合格的
妖精翼龙,平钓【红气球虫|12708】@1502-1800》！！！=【妖精翼龙|12833】；引诱；//预设分级：批量生成
吸血魔毯,平钓【巨型大蚊|12712】》！！=【吸血魔毯|12834】；引诱；//预设分级：批量生成
风暴骑士,平钓【巨型大蚊|12712】》！！！=【风暴骑士|12835】；引诱；//预设分级：批量生成
狂斗鱼,平钓【残暴水蛭|12711】@（碧空|1、晴朗|2）》！！=【狂斗鱼|12836】；引诱；//预设分级：批量生成
毛鳞鱼,平钓【残暴水蛭|12711】@0002-0600》！=【毛鳞鱼|12837】；引诱；//预设分级：批量生成
欧洛浦肯,平钓【恶魔蠕虫|12710】@（打雷|9）》！！=【欧洛浦肯|13727】；引诱；//预设分级：批量生成
库尔札斯海若螺,平钓【残暴水蛭|12711】@0002-0400（暴雪|16）》16~！@拍水【冰战神|12715】=引诱、不撒饵；//预设分级：合格的
龙堡公鱼,平钓【残暴水蛭|12711】》！=【龙堡公鱼|13729】；引诱；//预设分级：批量生成
天空珊瑚,平钓【巨型大蚊|12712】@0002-0600（碧空|1、晴朗|2）》！=【天空珊瑚|13730】；引诱、钓组；//预设分级：批量生成
太阳帆,平钓【巨型大蚊|12712】@1532-1700（碧空|1、晴朗|2）》！！=【太阳帆|13731】；引诱；//预设分级：批量生成
哥布林鲈,平钓【残暴水蛭|12711】@0002-0600（阴云|3、薄雾|4）》！！=【哥布林鲈|13732】；引诱；//预设分级：批量生成
熔岩蜗牛,平钓【熔岩蠕虫|12709】@（碧空|1、晴朗|2）》！=【熔岩蜗牛|14215】；引诱、钓组；//预设分级：批量生成
琥珀蝾螈,平钓【残暴水蛭|12711】@0602-1200》！！！=【琥珀蝾螈|14211】；引诱；//预设分级：批量生成
沼鯥,平钓【土蜘蛛|12705】》！=【沼鯥|14212】；引诱；//预设分级：批量生成
棉云魟,平钓【巨型大蚊|12712】@（碧空|1、晴朗|2）》！！=【棉云魟|14213】；引诱；//预设分级：批量生成
夜翼鱼龙,平钓【巨型大蚊|12712】》！！！=【夜翼鱼龙|14214】；引诱；//预设分级：批量生成
祭司鱼,平钓【残暴水蛭|12711】》！！=【祭司鱼|14216】；引诱；//预设分级：批量生成
库尔札斯牡蛎,平钓【残暴水蛭|12711】》！=【库尔札斯牡蛎|14217】；引诱、钓组；//预设分级：批量生成
古象鼻鱼,平钓【恶魔蠕虫|12710】@1802-2400（打雷|9）》！=【古象鼻鱼|14218】；引诱；//预设分级：批量生成
妖祸克拉肯,平钓【残暴水蛭|12711】》！！！=【妖祸克拉肯|14219】；引诱；//预设分级：批量生成
鳞鲶,平钓【残暴水蛭|12711】@（阴云|3、薄雾|4）》！！=【鳞鲶|14220】；引诱；//预设分级：批量生成
萨维奈秋叶鱼,平钓【金属亮片|28634】》！！=【萨维奈秋叶鱼|17562】；引诱；//预设分级：批量生成
清澈冰战神,平钓【金属亮片|28634】》！=【清澈冰战神|17563】；引诱；//预设分级：批量生成
云海红珊瑚,平钓【金属亮片|28634】》！=【云海红珊瑚|17564】；引诱、钓组；//预设分级：批量生成
心贝,平钓【金属亮片|28634】》！=【心贝|17565】；引诱；//预设分级：批量生成
河虾,平钓【金属亮片|28634】》！=【河虾|17566】；引诱；//预设分级：批量生成
彗星鲦,平钓【悬浮诱饵鱼|20619】》！！=【彗星鲦|20026】；引诱；//预设分级：批量生成
金丽鱼,平钓【鲑鱼籽|20613】》！=【金丽鱼|20029】；引诱；//预设分级：批量生成
阿巴拉提亚苦鱼,平钓【肥蚯蚓|20614】》！=【阿巴拉提亚苦鱼|20042】；引诱；//预设分级：批量生成
暗缟虾虎,平钓【鲑鱼籽|20613】》！！=【暗缟虾虎|20045】；引诱；//预设分级：批量生成
头铁鳟,平钓【悬浮诱饵鱼|20619】》！！=【头铁鳟|20049】；引诱；//预设分级：批量生成
破损蟹,平钓【鲑鱼籽|20613】》！=【破损蟹|20055】；引诱；//预设分级：批量生成
缪恩鱼,平钓【鲑鱼籽|20613】@（阴云|3、薄雾|4）》！！=【缪恩鱼|20058】；//预设分级：合格的
寺院鲫鱼,平钓【鲑鱼籽|20613】》！=【寺院鲫鱼|20062】；引诱；//预设分级：批量生成
气球蛙,平钓【鲑鱼籽|20613】》！=【气球蛙|20064】；引诱；//预设分级：批量生成
灯笼球藻,平钓【悬浮诱饵鱼|20619】》！=【灯笼球藻|20065】；引诱；//预设分级：批量生成
逆流鱼,平钓【肥蚯蚓|20614】》！！=【逆流鱼|20070】；引诱；//预设分级：批量生成
精金多鳍鱼,平钓【悬浮诱饵鱼|20619】》！！=【精金多鳍鱼|20072】；引诱；//预设分级：批量生成
溶骨蜗牛,平钓【鲑鱼籽|20613】》！=【溶骨蜗牛|20082】；引诱；//预设分级：批量生成
落叶鱼,平钓【悬浮诱饵鱼|20619】》！=【落叶鱼|20083】；引诱；//预设分级：批量生成
威罗迪纳草鱼,平钓【肥蚯蚓|20614】》！！=【威罗迪纳草鱼|20087】；引诱；//预设分级：批量生成
高地刺鱼,平钓【鲑鱼籽|20613】》！！=【高地刺鱼|20090】；引诱；//预设分级：批量生成
谷爬鱼,平钓【鲑鱼籽|20613】》！！=【谷爬鱼|20033】；引诱；//预设分级：批量生成
幻象鲢鱼,平钓【鲑鱼籽|20613】》！=【幻象鲢鱼|20047】；引诱；//预设分级：批量生成
角尊鳅,平钓【鲑鱼籽|20613】》！！=【角尊鳅|20136】；引诱；//预设分级：批量生成
基拉巴尼亚鳟,平钓【赤虫|20615】》！！=【基拉巴尼亚鳟|20056】；引诱；//预设分级：批量生成
唾血龙虾,大鱼【赤虫|20615】》！！【基拉巴尼亚鳟|20056】》！=【唾血龙虾|20057】；不撒饵；//预设分级：合格的
武斗鱼,大鱼【赤虫|20615】》！！【基拉巴尼亚鳟|20056】》！=【武斗鱼|20059】；引诱、不撒饵；//预设分级：批量生成
银币鱼,平钓【肥蚯蚓|20614】》！=【银币鱼|20063】；引诱；//预设分级：批量生成
小流星,平钓【鲑鱼籽|20613】@（阴云|3、薄雾|4）》！=【小流星|20084】；引诱；//预设分级：批量生成
倾仰鲶鱼,平钓【鲑鱼籽|20613】@1602-1815》！=【倾仰鲶鱼|20085】；引诱；//预设分级：批量生成
涅槃蟹,平钓【鲑鱼籽|20613】@（阴云|3、薄雾|4）》！！=【涅槃蟹|20086】；引诱；//预设分级：批量生成
砂砾鱼,平钓【鲑鱼籽|20613】》！=【砂砾鱼|20091】；引诱；//预设分级：批量生成
鳀鱼,平钓【活虾|20617】》！=【鳀鱼|20092】；引诱；//预设分级：批量生成
琉璃鲱,平钓【活虾|20617】》！！=【琉璃鲱|20093】；引诱；//预设分级：批量生成
地狱水母,平钓【活虾|20617】》！=【地狱水母|20094】；引诱；//预设分级：批量生成
红玉珊瑚,平钓【活虾|20617】》！=【红玉珊瑚|20095】；引诱、钓组；//预设分级：批量生成
苍玉珊瑚,平钓【活虾|20617】》！=【苍玉珊瑚|20096】；引诱、钓组；//预设分级：批量生成
白骨珊瑚,平钓【活虾|20617】》！=【白骨珊瑚|20097】；引诱、钓组；//预设分级：批量生成
红玉虾,平钓【活虾|20617】》！=【红玉虾|20112】；引诱；//预设分级：批量生成
黑斑花蛇鳗,平钓【活虾|20617】》！！=【黑斑花蛇鳗|20037】；引诱；//预设分级：批量生成
石楠嘉鱼,平钓【悬浮诱饵鱼|20619】》！！=【石楠嘉鱼|20050】；引诱；//预设分级：批量生成
电鲶鱼,平钓【肥蚯蚓|20614】》！！=【电鲶鱼|20060】；引诱；//预设分级：批量生成
死亡鳅,平钓【鲑鱼籽|20613】》！=【死亡鳅|20066】；引诱；//预设分级：批量生成
夫蟹,平钓【肥蚯蚓|20614】》！=【夫蟹|20067】；引诱；//预设分级：批量生成
素面蝲蛄,平钓【肥蚯蚓|20614】》！=【素面蝲蛄|20069】；引诱；//预设分级：批量生成
阿巴拉提亚蝾螈,平钓【悬浮诱饵鱼|20619】》！=【阿巴拉提亚蝾螈|20071】；引诱；//预设分级：批量生成
洞穴鳉,平钓【悬浮诱饵鱼|20619】》！=【洞穴鳉|20081】；引诱；//预设分级：批量生成
拉尔戈落雷,平钓【鲑鱼籽|20613】》！！=【拉尔戈落雷|20089】；引诱；//预设分级：批量生成
东洲蝴蝶鱼,平钓【蓝矶沙蚕|20676】》！！=【东洲蝴蝶鱼|20098】；引诱；//预设分级：批量生成
鱼大夫,平钓【蓝矶沙蚕|20676】》！！=【鱼大夫|20099】；引诱；//预设分级：批量生成
木叶龙,大鱼【活虾|20617】》！【红玉虾|20112】》！=【木叶龙|20101】；引诱、不撒饵；//预设分级：批量生成
琉璃鲽鱼,大鱼【活虾|20617】》！【红玉虾|20112】》！！=【琉璃鲽鱼|20102】；引诱、不撒饵；//预设分级：批量生成
滑翔鱼,平钓【蔓菁拟饵|20618】》！！=【滑翔鱼|20106】；引诱；//预设分级：批量生成
刺鲀,平钓【活虾|20617】》！！=【刺鲀|20107】；引诱；//预设分级：批量生成
圆扇贝,平钓【活虾|20617】》！！=【圆扇贝|20108】；引诱；//预设分级：批量生成
虎纹河豚,平钓【蓝矶沙蚕|20676】》！！=【虎纹河豚|20113】；引诱；//预设分级：批量生成
白姑鱼,平钓【蔓菁拟饵|20618】》！！=【白姑鱼|20032】；引诱；//预设分级：批量生成
河红眼鲈,平钓【肥蚯蚓|20614】》！！=【河红眼鲈|20046】；引诱；//预设分级：批量生成
野鲤,平钓【肥蚯蚓|20614】》！！=【野鲤|20137】；引诱；//预设分级：批量生成
非信仰巨骨舌鱼,大鱼【赤虫|20615】》！！【基拉巴尼亚鳟|20056】》！！=【非信仰巨骨舌鱼|20061】；引诱、不撒饵；//预设分级：批量生成
妇虾,平钓【肥蚯蚓|20614】》！=【妇虾|20068】；引诱；//预设分级：批量生成
威罗迪纳黑鲤,平钓【鲑鱼籽|20613】》！！=【威罗迪纳黑鲤|20088】；引诱；//预设分级：批量生成
延夏鲤,平钓【肥蚯蚓|20614】》！！=【延夏鲤|20118】；引诱；//预设分级：批量生成
长须鲶鱼,平钓【悬浮诱饵鱼|20619】》！！=【长须鲶鱼|20120】；引诱；//预设分级：批量生成
多玛鳟,平钓【肥蚯蚓|20614】》！！=【多玛鳟|20123】；引诱；//预设分级：批量生成
延夏红眼鲈,平钓【肥蚯蚓|20614】》！！！=【延夏红眼鲈|20020】；引诱；//预设分级：批量生成
红翅鱼,平钓【赤虫|20615】》！=【红翅鱼|20023】；引诱；//预设分级：批量生成
青鳉,平钓【赤虫|20615】@（碧空|1）》！=【青鳉|20036】；引诱；//预设分级：合格的
多玛蝲蛄,平钓【肥蚯蚓|20614】》！=【多玛蝲蛄|20111】；引诱；//预设分级：批量生成
东洲鳟,大鱼【肥蚯蚓|20614】》！【嘎牙子|20127】》！！=【东洲鳟|20126】；不撒饵；//预设分级：合格的
嘎牙子,平钓【肥蚯蚓|20614】》！=【嘎牙子|20127】；引诱；//预设分级：批量生成
草跳鱼,平钓【赤虫|20615】》！=【草跳鱼|20128】；引诱；//预设分级：批量生成
太阳鲈,平钓【赤虫|20615】》！！=【太阳鲈|20130】；引诱；//预设分级：批量生成
晨曦蝲蛄,大鱼【肥蚯蚓|20614】》！【嘎牙子|20127】》！=【晨曦蝲蛄|20132】；不撒饵；//预设分级：合格的
天幕鱼,平钓【悬浮诱饵鱼|20619】》！！=【天幕鱼|20138】；引诱；//预设分级：批量生成
亚特虾虎,平钓【赤虫|20615】》！=【亚特虾虎|20031】；引诱；//预设分级：批量生成
月神恩惠,平钓【赤虫|20615】》！！=【月神恩惠|20080】；引诱；//预设分级：批量生成
多玛鳗,平钓【赤虫|20615】@1702-1000》！！=【多玛鳗|20124】；引诱；//预设分级：批量生成
黄铜鱼,平钓【肥蚯蚓|20614】》！=【黄铜鱼|20125】；引诱；//预设分级：批量生成
枯草跳鱼,平钓【赤虫|20615】》！=【枯草跳鱼|20129】；引诱；//预设分级：批量生成
青空泪,平钓【赤虫|20615】》！=【青空泪|20131】；引诱；//预设分级：批量生成
暮晖蝲蛄,大鱼【肥蚯蚓|20614】》！【嘎牙子|20127】》！=【暮晖蝲蛄|20133】；引诱、不撒饵；//预设分级：批量生成
弓鱼,平钓【赤虫|20615】》！！=【弓鱼|20134】；引诱；//预设分级：批量生成
翡翠河鹿鱼,平钓【赤虫|20615】》！=【翡翠河鹿鱼|20135】；引诱；//预设分级：批量生成
硬鳞鱼,平钓【悬浮诱饵鱼|20619】》！！=【硬鳞鱼|20140】；引诱；//预设分级：批量生成
无二草鱼,平钓【赤虫|20615】@2002-0400》！！！=【无二草鱼|20027】；引诱；//预设分级：批量生成
武士鱼,平钓【赤虫|20615】》！=【武士鱼|20028】；引诱；//预设分级：批量生成
塔奥苦鱼,平钓【赤虫|20615】》！=【塔奥苦鱼|20044】；引诱；//预设分级：批量生成
白纸鱼,平钓【赤虫|20615】》！！=【白纸鱼|20115】；引诱；//预设分级：批量生成
龙鱼,平钓【悬浮诱饵鱼|20619】》！！=【龙鱼|20116】；引诱；//预设分级：批量生成
王室鲑,平钓【赤虫|20615】》！！=【王室鲑|20117】；引诱；//预设分级：批量生成
黄彩鱼,平钓【悬浮诱饵鱼|20619】》！！=【黄彩鱼|20052】；引诱；//预设分级：批量生成
青彩鱼,平钓【悬浮诱饵鱼|20619】》！！=【青彩鱼|20053】；引诱；//预设分级：批量生成
猛牛口食,平钓【赤虫|20615】@（扬沙|11、阴云|3、薄雾|4、微风|5）》！！=【猛牛口食|20076】；引诱；//预设分级：批量生成
窥视鱼,平钓【赤虫|20615】》！！=【窥视鱼|20077】；引诱；//预设分级：批量生成
基迦鲈,平钓【嗡嗡石蝇|20675】》！！=【基迦鲈|20079】；引诱；//预设分级：批量生成
大王乌贼,大鱼【活虾|20617】》！【红玉虾|20112】》！！！=【大王乌贼|20104】；引诱、不撒饵；//预设分级：批量生成
毯子章鱼,大鱼【活虾|20617】》！【红玉虾|20112】》！！！=【毯子章鱼|20105】；引诱、不撒饵；//预设分级：批量生成
琉璃金枪鱼,平钓【蓝矶沙蚕|20676】》！！=【琉璃金枪鱼|20110】；引诱；//预设分级：批量生成
雷遁鱼,平钓【悬浮诱饵鱼|20619】@（小雨|7、暴雨|8）》！！=【雷遁鱼|20114】；引诱；//预设分级：批量生成
东方刺鱼,平钓【悬浮诱饵鱼|20619】@（碧空|1、晴朗|2）》！！！=【东方刺鱼|20141】；引诱；//预设分级：批量生成
岩盐咸鱼,平钓【蚕蛹|20616】》！！=【岩盐咸鱼|20025】；引诱；//预设分级：批量生成
大天竺鱼,平钓【蓝矶沙蚕|20676】@1002-1800（碧空|1）》！！=【大天竺鱼|20034】；引诱；//预设分级：批量生成
赤点石斑鱼,大鱼【活虾|20617】》！【红玉虾|20112】》！！=【赤点石斑鱼|20038】；引诱、不撒饵；//预设分级：批量生成
盐盾,平钓【蚕蛹|20616】》！！！=【盐盾|20039】；引诱；//预设分级：批量生成
冥想鱼,平钓【悬浮诱饵鱼|20619】@（扬沙|11、阴云|3、薄雾|4、微风|5）》！！=【冥想鱼|20073】；引诱；//预设分级：批量生成
高山骨舌鱼,平钓【悬浮诱饵鱼|20619】》！！=【高山骨舌鱼|20075】；引诱；//预设分级：批量生成
弯刀鱼,平钓【悬浮诱饵鱼|20619】》！！=【弯刀鱼|20078】；引诱；//预设分级：批量生成
石头鱼,大鱼【活虾|20617】》！【红玉虾|20112】》！！！=【石头鱼|20109】；引诱、不撒饵；//预设分级：批量生成
东洲巨骨舌鱼,平钓【悬浮诱饵鱼|20619】》！！=【东洲巨骨舌鱼|20119】；引诱；//预设分级：批量生成
熊猫蝶尾鱼,平钓【赤虫|20615】@1002-1800》！！=【熊猫蝶尾鱼|20122】；引诱；//预设分级：批量生成
鳍龙,大鱼【活虾|20617】@（打雷|9）》！【红玉虾|20112】》！！！=【鳍龙|20018】；引诱、不撒饵；//预设分级：批量生成
阿拉米格缎带鱼,平钓【悬浮诱饵鱼|20619】》！=【阿拉米格缎带鱼|20019】；引诱；//预设分级：批量生成
天女鱼,平钓【嗡嗡石蝇|20675】@1602-2400》！！=【天女鱼|20021】；引诱；//预设分级：批量生成
扇贝海蛇,平钓【蓝矶沙蚕|20676】》！！=【扇贝海蛇|20022】；引诱；//预设分级：批量生成
汗鱼,平钓【嗡嗡石蝇|20675】》！=【汗鱼|20024】；引诱；//预设分级：批量生成
哈克苦鱼,平钓【嗡嗡石蝇|20675】@0002-0400（小雨|7）》！！=【哈克苦鱼|20030】；引诱；//预设分级：批量生成
白马,平钓【蚕蛹|20616】》！=【白马|20035】；引诱；//预设分级：批量生成
雕塑家,大鱼【蚕蛹|20616】@1202-1800（雷雨|10）》！！【岩盐咸鱼|20025】》！！！=【雕塑家|20040】；引诱、不撒饵；//预设分级：批量生成
珍珠眼,大鱼【蚕蛹|20616】》！！【岩盐咸鱼|20025】》！！！=【珍珠眼|20041】；引诱、不撒饵；//预设分级：批量生成
白钢鲨,平钓【悬浮诱饵鱼|20619】@（碧空|1）》！=【白钢鲨|20043】；引诱；//预设分级：批量生成
迎春鱼,平钓【蓝矶沙蚕|20676】》！！=【迎春鱼|20048】；引诱；//预设分级：批量生成
绢鲤,平钓【嗡嗡石蝇|20675】@（小雨|7）》！！！=【绢鲤|20051】；引诱；//预设分级：批量生成
花海马,大鱼【活虾|20617】》！【红玉虾|20112】》！！=【花海马|20054】；引诱、不撒饵；//预设分级：批量生成
裁定鱼,平钓【嗡嗡石蝇|20675】@（微风|5）》！！！=【裁定鱼|20074】；引诱；//预设分级：批量生成
剑旗鱼,平钓【蓝矶沙蚕|20676】@0802-1600（阴云|3、微风|5）》！！！=【剑旗鱼|20100】；引诱；//预设分级：批量生成
赏梅鱼,平钓【赤虫|20615】》！！=【赏梅鱼|20121】；引诱；//预设分级：批量生成
绝鬼鳄,大鱼【活虾|20617】》！【红玉虾|20112】》！！！=【绝鬼鳄|20103】；引诱、不撒饵；//预设分级：批量生成
幽灵鱼,平钓【嗡嗡石蝇|20675】@0002-0400（薄雾|4）》！！=【幽灵鱼|20142】；引诱；//预设分级：批量生成
基拉巴尼亚鲢鱼,平钓【金属亮片|28634】》！=【基拉巴尼亚鲢鱼|20785】；引诱；//预设分级：批量生成
珊瑚海马,平钓【金属亮片|28634】》！=【珊瑚海马|20786】；引诱；//预设分级：批量生成
恋心球藻,平钓【金属亮片|28634】》！=【恋心球藻|20787】；引诱；//预设分级：批量生成
威罗迪纳鲑鱼,平钓【金属亮片|28634】》！！=【威罗迪纳鲑鱼|20788】；引诱；//预设分级：批量生成
紫圆盾,平钓【金属亮片|28634】》！！=【紫圆盾|20789】；引诱；//预设分级：批量生成
枢机鱼,平钓【悬浮诱饵鱼|20619】@1902-2300（阴云|3、薄雾|4）》！！=【枢机鱼|21174】；引诱；//预设分级：批量生成
岩石鱼,平钓【悬浮诱饵鱼|20619】@1202-1600（扬沙|11、阴云|3、薄雾|4、微风|5）》！=【岩石鱼|21175】；引诱；//预设分级：批量生成
浮木鱼,平钓【蓝矶沙蚕|20676】@0802-1200（微风|5）》！！！=【浮木鱼|21176】；引诱；//预设分级：批量生成
紫彩鱼,平钓【嗡嗡石蝇|20675】@0002-0400》！！=【紫彩鱼|21177】；引诱；//预设分级：批量生成
虹鳉,平钓【嗡嗡石蝇|20675】@1602-2000（碧空|1、晴朗|2）》！=【虹鳉|21178】；引诱；//预设分级：批量生成
红尾鲶,大鱼【鲑鱼籽|20613】@（阴云|3、薄雾|4）》！【气球蛙|20064】》！！！=【红尾鲶|22392】；引诱、不撒饵；//预设分级：批量生成
幻河鲯,平钓【嗡嗡石蝇|20675】@0402-0800》！！！=【幻河鲯|22389】；引诱；//预设分级：批量生成
鳄龟,平钓【悬浮诱饵鱼|20619】@（碧空|1、晴朗|2）》！！=【鳄龟|22391】；引诱；//预设分级：批量生成
盐磨鲨,大鱼【蚕蛹|20616】@（阴云|3、薄雾|4）》！！【岩盐咸鱼|20025】》！！！=【盐磨鲨|22394】；引诱、不撒饵；//预设分级：批量生成
花须鯙,大鱼【活虾|20617】》！【红玉虾|20112】》！=【花须鯙|22396】；引诱、不撒饵；//预设分级：批量生成
盆栽鱼,平钓【肥蚯蚓|20614】》！=【盆栽鱼|22395】；引诱；//预设分级：批量生成
仿麻鱼,平钓【蓝矶沙蚕|20676】@0502-0700》！=【仿麻鱼|22390】；引诱；//预设分级：批量生成
薄毯章鱼,平钓【活虾|20617】》！！！=【薄毯章鱼|22393】；引诱；//预设分级：批量生成
红彩鱼,平钓【嗡嗡石蝇|20675】@0402-0800》！！=【红彩鱼|22397】；引诱；//预设分级：批量生成
河中长老,大鱼【肥蚯蚓|20614】@（阴云|3、薄雾|4、微风|5）》！【嘎牙子|20127】》！！=【河中长老|22398】；引诱、不撒饵；//预设分级：批量生成
尖叫者,大鱼【活虾|20617】》！【红玉虾|20112】》！！！=【尖叫者|23054】；引诱、不撒饵；//预设分级：批量生成
白彩鱼,大鱼【嗡嗡石蝇|20675】@0002-0400》！！【紫彩鱼|21177】》！！=【白彩鱼|23055】；引诱、不撒饵；//预设分级：批量生成
橙彩鱼,大鱼【嗡嗡石蝇|20675】@0402-0800》！！【红彩鱼|22397】》！=【橙彩鱼|23056】；引诱、不撒饵；//预设分级：批量生成
康复鱼,平钓【金属亮片|28634】》！！=【康复鱼|23071】；引诱；//预设分级：批量生成
释法来豹鱼,平钓【金属亮片|28634】》！！=【释法来豹鱼|23072】；引诱；//预设分级：批量生成
热鳍鱼,平钓【金属亮片|28634】》！！=【热鳍鱼|23073】；引诱；//预设分级：批量生成
白银贝,平钓【金属亮片|28634】》！=【白银贝|23074】；引诱；//预设分级：批量生成
青蓝之面,平钓【金属亮片|28634】》！！=【青蓝之面|23075】；引诱；//预设分级：批量生成
蓝彩鱼,大鱼【嗡嗡石蝇|20675】@0002-0400》！！【紫彩鱼|21177】》！=【蓝彩鱼|24203】；引诱、不撒饵；//预设分级：批量生成
绿彩鱼,平钓【嗡嗡石蝇|20675】@0002-1600（碧空|1、晴朗|2）》！=【绿彩鱼|24204】；引诱；//预设分级：批量生成
北境生蚝,平钓【金属亮片|28634】》！=【北境生蚝|24557】；引诱；//预设分级：批量生成
红玉海藻,平钓【金属亮片|28634】》！=【红玉海藻|24558】；引诱；//预设分级：批量生成
脉轮鲶,平钓【金属亮片|28634】》！！=【脉轮鲶|24559】；引诱；//预设分级：批量生成
狱卒鮟鱇,平钓【金属亮片|28634】》！！=【狱卒鮟鱇|24560】；引诱；//预设分级：批量生成
奥萨德鲑鱼,平钓【金属亮片|28634】》！！=【奥萨德鲑鱼|24561】；引诱；//预设分级：批量生成
八眼鳗,平钓【水果蠕虫|27582】》！=【八眼鳗|26746】；引诱；//预设分级：批量生成
水晶刀鱼,平钓【水果蠕虫|27582】》！！=【水晶刀鱼|27417】；引诱；//预设分级：批量生成
拉克汕鲤,平钓【水果蠕虫|27582】》！！=【拉克汕鲤|27411】；引诱；//预设分级：批量生成
蓝色公主海星,平钓【水果蠕虫|27582】》！=【蓝色公主海星|27412】；引诱；//预设分级：批量生成
硬糖藻,平钓【水果蠕虫|27582】》！=【硬糖藻|27425】；引诱；//预设分级：批量生成
紫角蜗牛,平钓【水果蠕虫|27582】》！=【紫角蜗牛|27427】；引诱；//预设分级：批量生成
净碟鱼,平钓【水果蠕虫|27582】》！=【净碟鱼|27428】；引诱；//预设分级：批量生成
兔跳鱼,平钓【水果蠕虫|27582】》！=【兔跳鱼|27429】；引诱；//预设分级：批量生成
水球鱼,平钓【水果蠕虫|27582】》！=【水球鱼|27426】；引诱；//预设分级：批量生成
黄体鲈,平钓【水果蠕虫|27582】》！=【黄体鲈|27430】；引诱；//预设分级：批量生成
白化雀鳝,平钓【盗蟹丸|27587】》！！=【白化雀鳝|27436】；引诱；//预设分级：批量生成
白化鳄,平钓【水果蠕虫|27582】》！！=【白化鳄|27431】；引诱；//预设分级：批量生成
食骨虾,平钓【水果蠕虫|27582】》！=【食骨虾|27438】；引诱；//预设分级：批量生成
太妃蜗牛,平钓【水果蠕虫|27582】》！=【太妃蜗牛|27439】；引诱；//预设分级：批量生成
沃茨鳟,平钓【水果蠕虫|27582】》！=【沃茨鳟|27440】；引诱；//预设分级：批量生成
南珂露西亚鳕鱼,平钓【藻虾|27583】》！=【南珂露西亚鳕鱼|27449】；引诱；//预设分级：批量生成
珂露西亚鲽鱼,平钓【藻虾|27583】》！=【珂露西亚鲽鱼|27448】；引诱；//预设分级：批量生成
碎贝海带,平钓【藻虾|27583】》！=【碎贝海带|27446】；引诱；//预设分级：批量生成
血色气球鱼,平钓【藻虾|27583】》！！=【血色气球鱼|27447】；引诱；//预设分级：批量生成
蔷薇虾,平钓【短嘴诱饵鱼|27588】》！=【蔷薇虾|27451】；引诱；//预设分级：批量生成
沙卵,平钓【沙漠蛙|27584】》！=【沙卵|27462】；引诱；//预设分级：批量生成
爱人之花,平钓【水果蠕虫|27582】》！=【爱人之花|27414】；引诱；//预设分级：批量生成
水晶都脂鲤,平钓【水果蠕虫|27582】》！=【水晶都脂鲤|27410】；引诱；//预设分级：批量生成
